feature_table	gene_panel	Bladder	ERneg	ERpos	NEPC	NSCLC	Normal	Prostate	RCC	SCLC	mean_roc
All Exons Depth	UW	0.9416767108611223	0.9137073254417567	0.9580203442879499	0.986698717948718	0.8709552304964538	0.9789145581224789	0.9813443670150988	0.9292929292929293	0.8659638554216867	0.9362860043209105
E1 Depth	UW	0.9444890853086916	0.8970663921770458	0.9610328638497653	0.9940705128205128	0.8791001773049645	0.9885405207187385	0.9856755710414247	0.9261216819356354	0.8332831325301205	0.9343755486318777
All Exons MDS	UW	0.9423463238248292	0.8953508320466632	0.9506259780907669	0.9592948717948718	0.8507867907801419	0.9716721672167217	0.972173828881146	0.8920601362461827	0.9131024096385542	0.9274903709466531
Full Gene Depth	UW	0.9536627829114772	0.8206381883685023	0.961737089201878	0.9915064102564103	0.8403147163120568	0.9770810414374771	0.9820460704607046	0.8888301620859761	0.8484939759036144	0.9182567152153441
All Combined	UW	0.9278826838087585	0.8960370560988162	0.9479264475743349	0.9834935897435897	0.8344414893617021	0.9525119178584525	0.9722706155632985	0.8790815128024431	0.8234939759036145	0.91301547652389
E1 MDS	UW	0.8948707646980045	0.8864299193686739	0.9336854460093896	0.9399038461538461	0.8101174645390071	0.9771727172717272	0.954655439411537	0.8993422598073761	0.8414156626506024	0.904177057767796
All Exons SE	UW	0.8911878933976162	0.8941499399553954	0.9222222222222223	0.9899038461538462	0.8299534574468085	0.9416941694169416	0.9697299651567944	0.8832511158092553	0.8097891566265061	0.9035424184650429
All Exons Small Fragments	UW	0.9284183741797241	0.8716761022473838	0.9285602503912364	0.9628205128205128	0.8255762411347518	0.9182251558489182	0.9555023228803716	0.8747944561898051	0.8055722891566265	0.8967939672054811
TFBS Entropy	UW	0.912950314718093	0.8240693086292674	0.9167057902973396	0.9560897435897436	0.8505651595744681	0.9599376604327099	0.9406939605110337	0.8612872915198497	0.7870481927710843	0.8899274913381766
E1 SE	UW	0.8623945359582161	0.8082003774232287	0.9212441314553991	0.9850961538461539	0.785017730496454	0.9627796112944628	0.972367402245451	0.8461945031712473	0.7828313253012048	0.8806806412435353
Griffin	UW	0.9117450113834203	0.7816091954022988	0.9016823161189358	0.9405448717948718	0.7629100177304965	0.9322515584891822	0.9547764227642277	0.9018675123326286	0.7846385542168675	0.8746694955814366
E1 Small Fragments	UW	0.8992902102584706	0.7601646937725167	0.8985524256651017	0.9615384615384616	0.7926085992907801	0.9506784011734507	0.9314266356949283	0.8745008221752408	0.7612951807228916	0.8700061589213158
Fragment Bins	UW	0.8883755189500468	0.8573511751586893	0.9023082942097027	0.9205128205128206	0.7460660460992908	0.959020902090209	0.9540505226480837	0.857293868921776	0.7370481927710844	0.8691141490401892
ATAC Entropy	UW	0.7944288201419579	0.679533367644536	0.7282472613458529	0.8833333333333333	0.6901595744680851	0.8786211954528785	0.8405923344947736	0.7243951139299977	0.7765060240963856	0.7773130027675333
All Exons Depth	FoundationOne Liquid CDx	0.9268782643631981	0.9154228855721394	0.9615805946791862	0.9847756410256411	0.869957890070922	0.9790979097909791	0.977424506387921	0.926297862344374	0.8503012048192771	0.9324151954504042
All Combined	FoundationOne Liquid CDx	0.9233293156555511	0.8836850231600617	0.9596635367762129	0.9825320512820512	0.8584330673758865	0.9672717271727173	0.9765050329074719	0.8791402396053559	0.8246987951807229	0.9172509765684479
All Exons MDS	FoundationOne Liquid CDx	0.9335743940002679	0.9007548464573684	0.9510172143974961	0.9391025641025641	0.7988696808510638	0.9614961496149614	0.9630274874177314	0.8900634249471459	0.8813253012048193	0.9132478958881576
Full Gene Depth	FoundationOne Liquid CDx	0.9462300790143298	0.8118888317035512	0.960093896713615	0.9644230769230769	0.87322695035461	0.9865236523652365	0.9726335656213705	0.8668076109936574	0.8057228915662651	0.909727839472857
E1 Depth	FoundationOne Liquid CDx	0.9272800321414223	0.8414822439526506	0.9399843505477308	0.985897435897436	0.8385970744680851	0.9843234323432343	0.9709397986837012	0.8958186516326051	0.7879518072289157	0.9080305363217535
All Exons SE	FoundationOne Liquid CDx	0.893665461363332	0.8725338823125751	0.9264475743348983	0.9918269230769231	0.8316156914893618	0.9354602126879354	0.9638501742160279	0.8791402396053559	0.7731927710843374	0.8964147700189719
All Exons Small Fragments	FoundationOne Liquid CDx	0.896544797107272	0.8772516726711271	0.9153755868544602	0.9615384615384616	0.8100620567375887	0.9123579024569123	0.9411295005807201	0.8608174770965469	0.7828313253012048	0.8842120867049215
E1 MDS	FoundationOne Liquid CDx	0.8806080085710459	0.8265568708183222	0.911150234741784	0.877724358974359	0.8176529255319149	0.9559955995599559	0.9285230352303523	0.8264035705896171	0.813855421686747	0.870941113967122
TFBS Entropy	FoundationOne Liquid CDx	0.8675505557787598	0.8067421513124035	0.8432707355242567	0.9447115384615384	0.8065713652482269	0.9579207920792079	0.9520180023228804	0.8439041578576463	0.7007530120481927	0.8581602567370125
Fragment Bins	FoundationOne Liquid CDx	0.886567563948038	0.8769943386515697	0.8598200312989045	0.902724358974359	0.741688829787234	0.9533370003667033	0.9525503290747194	0.8528893587033122	0.6787650602409638	0.8561485412273115
E1 SE	FoundationOne Liquid CDx	0.8635998392928887	0.773717618802539	0.8691705790297339	0.9334935897435898	0.7004654255319149	0.946094609460946	0.9272890050329075	0.7976861639652337	0.7076807228915662	0.8354663948612577
E1 Small Fragments	FoundationOne Liquid CDx	0.8293826168474622	0.7858123177217361	0.8102895148669796	0.896474358974359	0.6749778368794326	0.9355518885221855	0.8719028261711188	0.7649166079398637	0.6899096385542168	0.8065797340530394
ATAC Entropy	FoundationOne Liquid CDx	0.7552564617650998	0.6678675587579345	0.7218701095461659	0.8179487179487179	0.7665669326241135	0.8924642464246424	0.8513114595431669	0.7240427531125205	0.729066265060241	0.7695993894202892
All Exons Depth	Guardant360 CDx	0.9420115173429757	0.9072739749528221	0.9525430359937402	0.9790064102564102	0.859873670212766	0.9782728272827282	0.9776180797522261	0.9280596664317594	0.8927710843373494	0.9352700296180864
All Combined	Guardant360 CDx	0.8957412615508236	0.864470749699777	0.9486697965571205	0.9770833333333333	0.8436391843971631	0.9755225522552256	0.9757065427797135	0.9102067183462532	0.8194277108433735	0.9122742055291981
All Exons MDS	Guardant360 CDx	0.908932636935851	0.8955223880597015	0.9163145539906103	0.9373397435897436	0.7800864361702128	0.9359185918591858	0.9439847077042199	0.8721517500587268	0.8618975903614458	0.8946831554144108
Full Gene Depth	Guardant360 CDx	0.8561001740993706	0.8250986447074969	0.9194444444444445	0.9599358974358975	0.7978169326241135	0.9577374404107076	0.9436943476577623	0.8404392764857881	0.7941265060240964	0.8771548515432975
E1 Depth	Guardant360 CDx	0.8960091067363064	0.8512609366958312	0.92660406885759	0.9514423076923078	0.7534352836879432	0.9391272460579391	0.9458720480061944	0.866631430584919	0.7591867469879519	0.8766187972563314
All Exons SE	Guardant360 CDx	0.8861657961698138	0.7921598902041517	0.90739436619718306	0.9705128205128205	0.7672318262411347	0.9328016134946827	0.9382017034456059	0.8137185811604416	0.8212349397590362	0.8699357263538745
All Exons Small Fragments	Guardant360 CDx	0.8622606133654748	0.8546920569565963	0.8994522691705791	0.9352564102564103	0.7708333333333334	0.9434360102676934	0.9188685636856369	0.7801268498942918	0.6757530120481928	0.8489643465531344
Fragment Bins	Guardant360 CDx	0.835610017409937	0.8007376908560645	0.8557120500782472	0.9067307692307692	0.6973071808510638	0.9542537587092043	0.9313056523422377	0.7560488607000235	0.694578313253012	0.8258093659367288
TFBS Entropy	Guardant360 CDx	0.7165528324628365	0.6985760850917825	0.8126369327073553	0.8852564102564102	0.7779809397163121	0.9388522185551889	0.9093108788230739	0.864693446088795	0.7314759036144578	0.8150372941462458
E1 SE	Guardant360 CDx	0.8252979777688496	0.6405043746783325	0.8480438184663537	0.874198717948718	0.7232380319148937	0.9436193619361936	0.9017615176151762	0.8015034061545689	0.7414156626506024	0.8110647632370765
E1 MDS	Guardant360 CDx	0.8325967590732557	0.6769600274489621	0.7275039123630673	0.8607371794871795	0.7014073581560284	0.8953978731206453	0.7974012775842044	0.7829457364341085	0.6746987951807228	0.7721832132053527
E1 Small Fragments	Guardant360 CDx	0.7367751439667872	0.7317721736146852	0.8190140845070423	0.8618589743589744	0.6488807624113475	0.8852218555188852	0.8140001935733643	0.7201667841202725	0.5492469879518073	0.7518818844470184
ATAC Entropy	Guardant360 CDx	0.7202357037632249	0.6567164179104478	0.6774256651017214	0.7477564102564103	0.7354831560283688	0.9052071873854052	0.8069589624467673	0.69538407329105	0.6180722891566265	0.72924887392666915
All Exons Depth	Tempus xF	0.9158296504620329	0.90058329044433	0.9494131455399061	0.9863782051282052	0.8569370567375887	0.9742390905757242	0.9738917924893534	0.9242424242424242	0.8649096385542169	0.9273804771304202
All Combined	Tempus xF	0.920918708986206	0.8807685709384114	0.9576682316118936	0.9746794871794872	0.8528368794326241	0.9719471947194719	0.9768679829655439	0.9221869861404745	0.8373493975903614	0.9216914932849416
All Exons MDS	Tempus xF	0.9205169412079818	0.8927774918510893	0.9457355242566511	0.9600961538461539	0.8269614361702128	0.9527869453612028	0.9603658536585366	0.8902396053558844	0.8777108433734939	0.9141323105645786
Full Gene Depth	Tempus xF	0.8856301057988483	0.828443986961743	0.9466353677621283	0.9588141025641026	0.8285128546099291	0.9752475247524752	0.9579945799457994	0.8594667606295513	0.7876506024096386	0.8920439872704684
All Exons SE	Tempus xF	0.8956073389580822	0.8662720878366786	0.9213615023474179	0.9919871794871795	0.8014184397163121	0.9438943894389439	0.9645760743321719	0.8495419309372798	0.7792168674698795	0.8904306456137717
E1 Depth	Tempus xF	0.8870362930226329	0.8470578143763939	0.919131455399061	0.9677884615384615	0.8031914893617021	0.9635130179684634	0.9492353852109949	0.8700375851538642	0.7799698795180723	0.8874401535055163
All Exons Small Fragments	Tempus xF	0.9144904245346189	0.8766512266254932	0.9047339593114241	0.95	0.8142176418439716	0.9303263659699302	0.934789972899729	0.8534766267324407	0.7344879518072289	0.8792415744138707
Fragment Bins	Tempus xF	0.8798714343109683	0.815062617944759	0.871283255086072	0.9022435897435898	0.7276152482269503	0.9462779611294463	0.9522115756871854	0.7638007986845197	0.7621987951807229	0.8467294751104681
TFBS Entropy	Tempus xF	0.8269720101781171	0.7165036884542804	0.8088419405320814	0.9314102564102564	0.7547096631205674	0.9372937293729372	0.9041569879984515	0.8392060136246183	0.7344879518072289	0.8281758046109488
E1 MDS	Tempus xF	0.8364805142627562	0.7946474523932063	0.7899452269170579	0.8783653846153846	0.714982269503546	0.9406857352401906	0.8681765389082462	0.8148343904157858	0.7125	0.8167352791395749
E1 SE	Tempus xF	0.8159903575733226	0.7187339166237777	0.8589984350547731	0.8828525641025641	0.7023492907801419	0.9187752108544187	0.925208091366628	0.7646817007282124	0.7256024096385542	0.812576886302488
E1 Small Fragments	Tempus xF	0.7774876121601715	0.7460971007033796	0.8077464788732395	0.8977564102564103	0.6421764184397163	0.8779794646131279	0.8476819589624468	0.7387831806436458	0.5903614457831325	0.7695633411594744
ATAC Entropy	Tempus xF	0.7214410070978974	0.6236061073940642	0.6933098591549296	0.7072115384615385	0.6947030141843972	0.8893472680601393	0.8036682152535811	0.7546394174301151	0.6588855421686747	0.7274235521339263
